id,date,isin,type,quantity,price_per_unit,currency,fees,note
txn_7141ceb508e7,2025-01-15,IE0002Y8CX98,BUY,120,22.40,EUR,3.90,
txn_467aeb40b60e,2025-04-02,IE0002Y8CX98,BUY,80,27.15,EUR,3.90,
txn_5240e11fd16d,2025-07-18,IE0002Y8CX98,SELL,60,31.80,EUR,3.90,
txn_56bc0a30876b,2025-02-11,IE000IAXNM41,BUY,200,9.85,EUR,3.90,
txn_b968e5b51e51,2025-03-05,IE000I7E6HL0,BUY,150,14.20,EUR,3.90,
txn_d4d18e525079,2025-05-20,IE00B6R52143,BUY,90,7.4250,GBP,0.0600,
txn_66736e6f1230,2025-06-09,JE00BN7KB664,BUY,300,5.62,USD,4.50,
txn_372a24992957,2025-08-01,LU1681048630,BUY,40,118.60,EUR,3.90,
txn_cea97d056b25,2025-09-12,LU1681048630,DIVIDEND,40,0.62,EUR,0,
txn_a761c800484e,2025-12-31,LU1681048630,FEE,0,0,EUR,12.00,annual custody fee
txn_e1646bcd4758,2025-02-03,GB00B15KYB02,BUY,500,3.10,USD,4.50,
txn_6788e9be0544,2025-10-06,GB00B15KYB02,SELL,500,3.55,USD,4.50,
txn_8f01280527dd,2025-04-02,IE000IAXNM41,BUY,2000,9.85,EUR,3.90,typo: quantity off by 10x
txn_c188c3056c7c,2025-04-02,IE000IAXNM41,BUY,200,9.85,EUR,3.90,corrected replacement
